32050067050,"COASTAL WAVES VACATIONS, LLC                      ",3616 7 MILE RD,GALVESTON           ,TX,77554,84,10, COASTAL WAVES VACATIONS                          ,4158 GREEN HERON DR,GALVESTON           ,TX,77554,84,1,4934,4934,June
32049649729,"ALL SEASONS RENTALS,  INC.                        ",15113 BAT HAWK CIR,AUSTIN              ,TX,78738,227,22, CROSSING C                                       ,613 HI CIR N,HORSESHOE BAY       ,TX,78657,150,1,1500,1500,June
32039987733,TIRUPATI LODGING CORP.                            ,1407 S MAIN ST,HIGHLANDS           ,TX,77562,101,1, HIGHLANDS SUITES                                 ,1407 S MAIN ST,HIGHLANDS           ,TX,77562,101,31,25040,17065,June
32001947285,IRMA A HARTMAN                                    ,2423 E MAIN ST,EAGLE PASS          ,TX,78852,159,1, HOLLY INN                                        ,2423 E MAIN ST,EAGLE PASS          ,TX,78852,159,70,13949.88,13949.88,June
32046829167,"SPI RENTALS, LLC                                  ",104 W BAHAMA ST STE B,S PADRE ISLE        ,TX,78597,31,46," SPI RENTALS, LLC - BEACH                         ",6401B BEACH DR,SOUTH PADRE ISLAND  ,TX,78597,31,1,3170,3170,June
32015454328,WILLIAM T HOVESTADT                               ,PO BOX 310279,NEW BRAUNFELS       ,TX,78131,46,11, W T H INVESTMENTS                                ,777 CLOUD LN,NEW BRAUNFELS       ,TX,78130,94,1,47440,47440,June
32044594219,"KEY ALLEGRO COASTAL LUCE PROPERTIES, LLC          ",1809 BAY SHORE DR,ROCKPORT            ,TX,78382,4,137,703 ALLEGRO NORTH CONDOS,620 S FULTON BEACH RD APT 703,ROCKPORT            ,TX,78382,4,3,3120,3120,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,191,(LC28) MICHAEL OR DAWN COACH,6877 STATE HIGHWAY 361,PORT ARANSAS        ,TX,78373,178,1,3775,3775,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,189,(LC42) STEVEN GATTO,6877 STATE HIGHWAY 361,PORT ARANSAS        ,TX,78373,178,1,3440,3440,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,155,(PB 114) TERRY L CARTER,2012 HWY 361 #114,PORT ARANSAS        ,TX,78373,178,1,6902,6902,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,156,(PB 205) LARRY OR VICKY MURPHY,2012 HWY 361 # 205,PORT ARANSAS        ,TX,78373,178,1,6200,6200,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,194,(PB101) STEVEN AND MARY MORGAN,2012 HWY 361 #101,PORT ARANSAS        ,TX,78373,178,1,7335,7335,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,192,(PB202) SANDRA ELROD,2212 STATE HIGHWAY 361 # 202,PORT ARANSAS        ,TX,78373,178,1,0,0,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,196,(PB206) LARRY OR VICKEY MURPHY,2122 STATE HIGHWAY 361 # 206,PORT ARANSAS        ,TX,78373,178,1,6660,6660,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,190,(TC301) GERALD OR DONNA HILL,2120 S 11TH ST,PORT ARANSAS        ,TX,78373,178,1,3675,3675,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,197,(109FD) ANTHONY OR CYNTHIA MARTINEZ,109 FIVE DOVE CIR,PORT ARANSAS        ,TX,78373,178,1,7325,7325,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,222,(131 C) NATHAN PAYNE,131 WHITE STREET # C,PORT ARANSAS        ,TX,78373,178,1,0,0,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,193,(1515E) ELAINE TEBBEN,1515 S 11TH ST,PORT ARANSAS        ,TX,78373,178,1,4125,4125,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,154,(230RO) MARK OR VICTORIA LAMBDIN,230 W ROBERTS,PORT ARANSAS        ,TX,78373,178,1,3101,3101,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,224,(658 AD) LAURA JONES,663 ANCHOR DR,PORT ARANSAS        ,TX,78373,178,1,10340,10340,June
32009496855,MARCUS C STARKEY                                  ,PO BOX 1780,PORT ARANSAS        ,TX,78373,178,223,(663 AD) LAURA JONES,663 ANCHOR DR,PORT ARANSAS        ,TX,78373,178,1,12685,12685,June
32053061605,WF HOTEL MANAGEMENT LLC                           ,601 CARLSON PKWY STE 1125,HOPKINS             ,MN,55305,0,1,'MAINSTAY SUITES'                                 ,1917 ELMWOOD NORTH AVE,WICHITA FALLS       ,TX,76308,243,90,117102.03,74430.55,June
32042797483,LINDA MCCOURT                                     ,3766 CLEAR FALLS DR,KINGWOOD            ,TX,77339,101,1,'OCEAN'S TWELVE'                                  ,4002 11 MILE RD,GALVESTON           ,TX,77554,84,3,9400,9400,June
12057818812,"A & I INVESTMENTS, LLC.                           ",721 LAURELWOOD WAY,WALNUT              ,CA,91789,0,1,A AND I INVESTMENTS  LLC                          ,4500 HIGHWAY 73,PORT ARTHUR         ,TX,77642,123,55,66523.81,51927.36,June
17602721106,"A. B. SEA SALES AND RENTALS, INC.                 ",10811 TERMINI SAN LUIS PASS RD,GALVESTON           ,TX,77554,84,4,A B SEA SALES AND RENTALS INC                     ,10811 TERMINI SAN LUIS PASS RD,GALVESTON           ,TX,77554,84,42,271485.5,271485.5,June
32017274401,MELISSA L SERGEANT                                ,600 CUT OFF RD STE 5,PORT ARANSAS        ,TX,78373,178,2,A BEACH CONDO (RUSS MATSUNAMI)                    ,841 SANDCASTLE DR # 215,PORT ARANSAS        ,TX,78373,178,4,2685,2685,June
32037257915,LUETH COMPANY LLC                                 ,PO BOX 3186,PORT ARANSAS        ,TX,78373,178,68,A COASTIN'CASA                                    ,1923 S 11TH ST,PORT ARANSAS        ,TX,78373,178,1,3920,3920,June
32016093760,DEBBIE A GREGORY                                  ,834 MITCHELL ST,GONZALES            ,TX,78629,89,5,A COUNTRY PLACE                                   ,3250 WAYSIDE DR,WIMBERLEY           ,TX,78676,105,2,5575,5575,June
32017274401,MELISSA L SERGEANT                                ,600 CUT OFF RD STE 5,PORT ARANSAS        ,TX,78373,178,30,A COZY CONDO #201 ( TERRY PETERSEN),841 SANDCASTLE DR # 201,PORT ARANSAS        ,TX,78373,178,4,3120,3120,June
32017274401,MELISSA L SERGEANT                                ,600 CUT OFF RD STE 5,PORT ARANSAS        ,TX,78373,178,29,A COZY CONDO #305 (TERRY PETERSEN),841 SANDCASTLE DR # 305,PORT ARANSAS        ,TX,78373,178,4,2905,2905,June
32054694149,WAX HOSPITALITY CORP.                             ,8000 WARREN PKWY STE 206,FRISCO              ,TX,75034,43,2,A HAMPTON INN AND SUITES                          ,2010 CIVIC CENTER LN,WAXAHACHIE          ,TX,75165,70,1,205530.23,199441.71,June
32024552682,"THE PORT A BEACH HOUSE COMPANY, LLC.              ",PO BOX 2765,PORT ARANSAS        ,TX,78373,178,50,A KILLER VIEW                                     ,101 PORTO VILLAGEO,PORT ARANSAS        ,TX,78373,178,1,13097.5,13097.5,June
15826849042,"503-G, LP",2512 TURKEY NECK CIR,ROCKPORT            ,TX,78382,4,1,A LAUGHING HORSE LODGE                            ,503 E AVENUE G,PORT ARANSAS        ,TX,78373,178,17,68159.29,68159.29,June
12021015925,M.K. FISHING GETAWAY LLC                          ,4161 HIGHWAY 35 N,ROCKPORT            ,TX,78382,4,57,A LITTLE BIT OF PARADISE                          ,137 PORT AVE,ROCKPORT            ,TX,78382,4,1,1210,1210,June
32017274401,MELISSA L SERGEANT                                ,600 CUT OFF RD STE 5,PORT ARANSAS        ,TX,78373,178,71,A SHORE THING (BELUR PATEL)                       ,1833 S 11TH ST APT E3,PORT ARANSAS        ,TX,78373,178,12,4779,4779,June
32038271337,PORT ARANSAS ESCAPES LLC                          ,1900 STATE HIGHWAY 361,PORT ARANSAS        ,TX,78373,178,65,A SHORE THING BB903,903 BANYAN BEACH DR,PORT ARANSAS        ,TX,78373,178,1,14100,14100,June
32037257915,LUETH COMPANY LLC                                 ,PO BOX 3186,PORT ARANSAS        ,TX,78373,178,24,A WAVE FROM IT ALL                                ,604 BEACH ACCESS ROAD 1A # 15-A,PORT ARANSAS        ,TX,78373,178,1,9350,9350,June
